holding_id,client_id,account_type,ticker,asset_name,shares,price_per_share,value
H0061,C013,brokerage_taxable,AMZN,Amazon.com Inc.,300.0,245.98,73794
H0062,C013,brokerage_taxable,AAPL,Apple Inc.,100.0,310.66,31066
H0063,C013,savings,CASH,Cash,30000,1.00,30000
H0064,C014,401k,VTI,Vanguard Total Stock Market ETF,30.0,369.61,11088
H0065,C014,brokerage_taxable,AAPL,Apple Inc.,15.0,310.66,4660
H0066,C014,savings,CASH,Cash,5000,1.00,5000
H0067,C015,IRA,VTI,Vanguard Total Stock Market ETF,250.0,369.61,92403
H0068,C015,IRA,BND,Vanguard Total Bond Market ETF,300.0,72.85,21855
H0069,C015,IRA,VNQ,Vanguard Real Estate ETF,200.0,98.40,19680
H0070,C015,brokerage_taxable,MSFT,Microsoft Corp.,30.0,388.84,11665
H0071,C015,savings,CASH,Cash,20000,1.00,20000
H0072,C016,IRA,BND,Vanguard Total Bond Market ETF,1500.0,72.85,109275
H0073,C016,IRA,VTI,Vanguard Total Stock Market ETF,300.0,369.61,110883
H0074,C016,brokerage_taxable,VNQ,Vanguard Real Estate ETF,400.0,98.40,39360
H0075,C016,savings,CASH,Cash,35000,1.00,35000
H0076,C016,checking,CASH,Cash,6000,1.00,6000
H0077,C017,401k,VTI,Vanguard Total Stock Market ETF,90.0,369.61,33265
H0078,C017,401k,BND,Vanguard Total Bond Market ETF,100.0,72.85,7285
H0079,C017,brokerage_taxable,AAPL,Apple Inc.,20.0,310.66,6213
H0080,C017,savings,CASH,Cash,20000,1.00,20000
H0081,C018,401k,VTI,Vanguard Total Stock Market ETF,200.0,369.61,73922
H0082,C018,401k,BND,Vanguard Total Bond Market ETF,250.0,72.85,18213
H0083,C018,brokerage_taxable,MSFT,Microsoft Corp.,40.0,388.84,15554
H0084,C018,savings,CASH,Cash,20000,1.00,20000
H0085,C019,brokerage_taxable,TSLA,Tesla Inc.,10.0,402.90,4029
H0086,C019,savings,CASH,Cash,3000,1.00,3000
H0087,C019,checking,CASH,Cash,1000,1.00,1000
H0088,C020,401k,VTI,Vanguard Total Stock Market ETF,500.0,369.61,184805
H0089,C020,401k,BND,Vanguard Total Bond Market ETF,700.0,72.85,50995
H0090,C020,IRA,VNQ,Vanguard Real Estate ETF,500.0,98.40,49200
H0091,C020,brokerage_taxable,AAPL,Apple Inc.,50.0,310.66,15533
H0092,C020,savings,CASH,Cash,30000,1.00,30000
H0093,C021,401k,VTI,Vanguard Total Stock Market ETF,150.0,369.61,55442
H0094,C021,brokerage_taxable,NVDA,NVIDIA Corp.,250.0,195.00,48750
H0095,C021,brokerage_taxable,TSLA,Tesla Inc.,80.0,402.90,32232
H0096,C021,brokerage_taxable,AMZN,Amazon.com Inc.,100.0,245.98,24598
H0097,C021,savings,CASH,Cash,20000,1.00,20000
H0098,C022,401k,VTI,Vanguard Total Stock Market ETF,40.0,369.61,14784
H0099,C022,brokerage_taxable,MSFT,Microsoft Corp.,10.0,388.84,3888
H0100,C022,savings,CASH,Cash,10000,1.00,10000
H0101,C023,IRA,BND,Vanguard Total Bond Market ETF,1200.0,72.85,87420
H0102,C023,IRA,VTI,Vanguard Total Stock Market ETF,400.0,369.61,147844
H0103,C023,brokerage_taxable,VNQ,Vanguard Real Estate ETF,500.0,98.40,49200
H0104,C023,savings,CASH,Cash,40000,1.00,40000
H0105,C024,savings,CASH,Cash,3000,1.00,3000
H0106,C024,checking,CASH,Cash,1000,1.00,1000
H0107,C025,401k,VTI,Vanguard Total Stock Market ETF,300.0,369.61,110883
H0108,C025,401k,BND,Vanguard Total Bond Market ETF,400.0,72.85,29140
H0109,C025,IRA,VNQ,Vanguard Real Estate ETF,250.0,98.40,24600
H0110,C025,brokerage_taxable,AAPL,Apple Inc.,40.0,310.66,12426
H0111,C025,savings,CASH,Cash,20000,1.00,20000
